,0,1,2,3,4,5,6,7
33,0.8984,0.0964,0.0048,0.0002,0.0,0.0,0.0,0.0
34,0.895,0.099,0.0051,0.0002,0.0,0.0,0.0,0.0
35,0.8926,0.1017,0.0054,0.0002,0.0,0.0,0.0,0.0
36,0.8896,0.1044,0.0058,0.0002,0.0,0.0,0.0,0.0
37,0.886,0.1069,0.0061,0.0002,0.0,0.0,0.0,0.0
38,0.884,0.1096,0.0064,0.0002,0.0,0.0,0.0,0.0
39,0.881,0.1121,0.0068,0.0003,0.0,0.0,0.0,0.0
40,0.8774,0.1147,0.0072,0.0003,0.0,0.0,0.0,0.0
41,0.875,0.1172,0.0075,0.0003,0.0,0.0,0.0,0.0
42,0.872,0.1198,0.0078,0.0003,0.0,0.0,0.0,0.0
43,0.8687,0.1223,0.0082,0.0003,0.0,0.0,0.0,0.0
44,0.866,0.1248,0.0086,0.0004,0.0,0.0,0.0,0.0
45,0.8633,0.1273,0.0089,0.0004,0.0,0.0,0.0,0.0
46,0.86,0.1299,0.0093,0.0004,0.0,0.0,0.0,0.0
47,0.8574,0.1323,0.0097,0.0004,0.0,0.0,0.0,0.0
48,0.8545,0.1348,0.0101,0.0005,0.0,0.0,0.0,0.0
49,0.851,0.1372,0.0105,0.0005,0.0,0.0,0.0,0.0
50,0.8486,0.1396,0.0109,0.0005,0.0,0.0,0.0,0.0
51,0.8457,0.1422,0.0113,0.0005,0.0,0.0,0.0,0.0
52,0.8433,0.1445,0.0118,0.0006,0.0,0.0,0.0,0.0
53,0.84,0.1471,0.0122,0.0006,0.0,0.0,0.0,0.0
54,0.8374,0.1495,0.0125,0.0006,0.0,0.0,0.0,0.0
55,0.8345,0.1519,0.013,0.0007,0.0,0.0,0.0,0.0
56,0.831,0.1543,0.0134,0.0007,0.0,0.0,0.0,0.0
57,0.8286,0.1566,0.0139,0.0008,0.0,0.0,0.0,0.0
58,0.8257,0.1589,0.0143,0.0008,0.0,0.0,0.0,0.0
59,0.8223,0.1614,0.0148,0.0009,0.0,0.0,0.0,0.0
60,0.82,0.1637,0.0153,0.0009,0.0,0.0,0.0,0.0
61,0.8174,0.1661,0.0158,0.0009,0.0,0.0,0.0,0.0
62,0.814,0.1685,0.0163,0.001,0.0,0.0,0.0,0.0
63,0.8115,0.1708,0.0167,0.001,0.0,0.0,0.0,0.0
64,0.8086,0.173,0.0172,0.0011,0.0001,0.0,0.0,0.0
65,0.8057,0.1752,0.0178,0.0012,0.0001,0.0,0.0,0.0
66,0.8027,0.1775,0.0182,0.0012,0.0001,0.0,0.0,0.0
67,0.8003,0.1798,0.0188,0.0013,0.0001,0.0,0.0,0.0
68,0.7974,0.1821,0.0193,0.0013,0.0001,0.0,0.0,0.0
69,0.7944,0.1843,0.0198,0.0014,0.0001,0.0,0.0,0.0
70,0.7915,0.1864,0.0204,0.0014,0.0001,0.0,0.0,0.0
71,0.789,0.1886,0.021,0.0015,0.0001,0.0,0.0,0.0
72,0.786,0.1908,0.0215,0.0016,0.0001,0.0,0.0,0.0
73,0.783,0.193,0.022,0.0016,0.0001,0.0,0.0,0.0
74,0.6787,0.2969,0.0226,0.0017,0.0001,0.0,0.0,0.0
75,0.6064,0.368,0.0237,0.0017,0.0001,0.0,0.0,0.0
76,0.556,0.4167,0.0253,0.0018,0.0001,0.0,0.0,0.0
77,0.5205,0.45,0.0272,0.0019,0.0001,0.0,0.0,0.0
78,0.495,0.4736,0.0292,0.002,0.0001,0.0,0.0,0.0
79,0.4763,0.49,0.0314,0.0021,0.0001,0.0,0.0,0.0
80,0.463,0.5015,0.0336,0.0022,0.0001,0.0,0.0,0.0
81,0.4517,0.51,0.0361,0.0023,0.0001,0.0,0.0,0.0
82,0.4429,0.516,0.0386,0.0024,0.0002,0.0,0.0,0.0
83,0.4355,0.5205,0.041,0.0025,0.0002,0.0,0.0,0.0
84,0.4292,0.5244,0.0436,0.0027,0.0002,0.0,0.0,0.0
85,0.4236,0.5273,0.046,0.0028,0.0002,0.0,0.0,0.0
86,0.4185,0.5303,0.0484,0.003,0.0002,0.0,0.0,0.0
87,0.413,0.532,0.051,0.0031,0.0002,0.0,0.0,0.0
88,0.4077,0.535,0.0536,0.0033,0.0002,0.0,0.0,0.0
89,0.4036,0.5366,0.056,0.0035,0.0002,0.0,0.0,0.0
90,0.3992,0.538,0.0587,0.0037,0.0002,0.0,0.0,0.0
91,0.395,0.5396,0.0613,0.0039,0.0002,0.0,0.0,0.0
92,0.391,0.5405,0.0639,0.0042,0.0003,0.0,0.0,0.0
93,0.387,0.542,0.0664,0.0044,0.0003,0.0,0.0,0.0
94,0.383,0.543,0.069,0.0047,0.0003,0.0,0.0,0.0
95,0.3792,0.544,0.0716,0.0049,0.0003,0.0,0.0,0.0
96,0.375,0.5454,0.0742,0.0052,0.0003,0.0,0.0,0.0
97,0.371,0.5464,0.0768,0.0055,0.0003,0.0,0.0,0.0
98,0.3672,0.547,0.0796,0.0058,0.0004,0.0,0.0,0.0
99,0.3633,0.548,0.0821,0.0061,0.0004,0.0,0.0,0.0
100,0.3596,0.549,0.0846,0.0064,0.0004,0.0,0.0,0.0
101,0.3557,0.5503,0.0872,0.0067,0.0004,0.0,0.0,0.0
102,0.352,0.551,0.0896,0.007,0.0004,0.0,0.0,0.0
103,0.3481,0.552,0.0922,0.0073,0.0005,0.0,0.0,0.0
104,0.3447,0.5522,0.0948,0.0077,0.0005,0.0,0.0,0.0
105,0.341,0.553,0.0974,0.008,0.0005,0.0,0.0,0.0
106,0.3372,0.5537,0.0999,0.0083,0.0005,0.0,0.0,0.0
107,0.3335,0.5547,0.1025,0.0087,0.0006,0.0,0.0,0.0
108,0.33,0.555,0.1052,0.0091,0.0006,0.0,0.0,0.0
109,0.3267,0.5557,0.1078,0.0095,0.0006,0.0,0.0,0.0
110,0.3232,0.556,0.1103,0.0099,0.0006,0.0,0.0,0.0
111,0.3196,0.556,0.1129,0.0103,0.0007,0.0,0.0,0.0
112,0.3162,0.5566,0.1154,0.0108,0.0007,0.0,0.0,0.0
113,0.3127,0.557,0.1179,0.0112,0.0008,0.0,0.0,0.0
114,0.3093,0.5576,0.1205,0.0117,0.0008,0.0,0.0,0.0
115,0.306,0.558,0.123,0.0121,0.0008,0.0,0.0,0.0
116,0.3027,0.558,0.1255,0.0126,0.0009,0.0,0.0,0.0
117,0.2993,0.5586,0.128,0.0131,0.0009,0.0,0.0,0.0
118,0.2961,0.5586,0.1305,0.0137,0.001,0.0001,0.0,0.0
119,0.2927,0.559,0.133,0.0142,0.001,0.0001,0.0,0.0
120,0.2896,0.559,0.1355,0.0147,0.0011,0.0001,0.0,0.0
121,0.2864,0.559,0.1381,0.0152,0.0011,0.0001,0.0,0.0
